Month,kWh,Cost
"2010-01",,
"2010-02",,
"2010-03",,
"2010-04",,
"2010-05",,
"2010-06",,
"2010-07",,
"2010-08",1073,
"2010-09",1056,
"2010-10",745,
"2010-11",770,
"2010-12",1482,
"2011-01",2104,
"2011-02",1175,
"2011-03",931,
"2011-04",708,
"2011-05",726,
"2011-06",1024,
"2011-07",1322,
"2011-08",877,
"2011-09",1000,
"2011-10",,
"2011-11",,
"2011-12",,
"2012-01",,
"2012-02",,
"2012-03",,
"2012-04",,
"2012-05",,
"2012-06",,
"2012-07",,
"2012-08",,
"2012-09",,
"2012-10",,
"2012-11",,
"2012-12",,
"2013-01",1448,
"2013-02",1162,
"2013-03",1347,
"2013-04",1232,
"2013-05",770,
"2013-06",1077,
"2013-07",1078,
"2013-08",1135,
"2013-09",1078,
"2013-10",938,
"2013-11",848,
"2013-12",750,
"2014-01",1328,
"2014-02",1257,
"2014-03",896,
"2014-04",756,
"2014-05",917,
"2014-06",976,
"2014-07",1187,
"2014-08",1271,
"2014-09",1058,
"2014-10",836,
"2014-11",901,
"2014-12",1445,
"2015-01",1913,
"2015-02",1936,
"2015-03",1692,
"2015-04",777,
"2015-05",732,
"2015-06",775,116.50
"2015-07",986,153.39
"2015-08",915,140.98
"2015-09",863,131.86
"2015-10",805,125.08
"2015-11",730,115.44
"2015-12",849,130.76
"2016-01",1363,202.05
"2016-02",1688,249.92
"2016-03",895,133.14
"2016-04",923,137.26
"2016-05",931,135.58
"2016-06",984,145.24
"2016-07",1277,185.46
"2016-08",1012,150.03
"2016-09",1198,228.31
"2016-10",794,117.14
"2016-11",609,96.61
"2016-12",642,98.83
"2017-01",1287,188.38
"2017-02",988,143.78
"2017-03",750,111.84
"2017-04",953,140.43
"2017-05",566,91.79
"2017-06",893,182.09
"2017-07",878,127.92
"2017-08",903,131.53
"2017-09",1374,199.45
"2017-10",1381,202.60
"2017-11",1130,166.13
"2017-12",957,140.78
"2018-01",1032,153.86
"2018-02",1414,197.03
"2018-03",814,113.49
"2018-04",762,107.62
"2018-05",542,82.83
"2018-06",538,82.38
"2018-07",525,82.90
"2018-08",616,91.16
"2018-09",717,102.57
"2018-10",732,105.36
"2018-11",510,80.50
"2018-12",1285,180.97
"2019-01",1066,144.55
"2019-02",1516,213.50
"2019-03",597,90.52
"2019-04",751,108.26
"2019-05",567,90.73
"2019-06",727,107.83
"2019-07",736,110.79
"2019-08",822,119.38
"2019-09",654,99.44
"2019-10",707,110.27
"2019-11",596,96.55
"2019-12",1455,219.29
"2020-01",1219,183.66
"2020-02",1023,150.38
"2020-03",781,116.63
"2020-04",689,103.45
"2020-05",688,103.45
"2020-06",405,69.38
"2020-07",769,111.22
"2020-08",932,132.17
"2020-09",882,125.09
"2020-10",802,115.10
"2020-11",804,115.24
"2020-12",1213,172.15
"2021-01",2054,291.57
"2021-02",1634,232.02
"2021-03",1124,159.51
"2021-04",972,137.87
"2021-05",627,94.91
"2021-06",556,86.74
"2021-07",736,107.43
"2021-08",909,128.92
"2021-09",860,121.96
"2021-10",814,122.59
"2021-11",931,148.66
"2021-12",1586,269.93
"2022-01",1468,254.35
"2022-02",2139,370.86
